task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
syntax,1,31,31,0.067649245262146
syntax,2,30,31,0.09898419678211212
syntax,3,29,31,0.1236024871468544
syntax,4,26,29,0.1435709297657013
syntax,5,27,31,0.15968741476535797
syntax,6,26,31,0.1753837615251541
syntax,7,27,33,0.1916869431734085
syntax,8,26,33,0.20437052845954895
syntax,9,25,33,0.21851633489131927
syntax,10,25,34,0.23292653262615204
syntax,11,24,34,0.2589704990386963
syntax,12,15,26,0.2675175666809082
syntax,13,15,27,0.27716827392578125
syntax,14,15,28,0.2835012376308441
syntax,15,15,29,0.28774571418762207
syntax,16,15,30,0.2941009998321533
syntax,17,15,31,0.2987615168094635
syntax,18,13,30,0.30499958992004395
syntax,19,13,31,0.30881932377815247
