task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,25,25,0.09227803349494934
math,2,25,26,0.13075894117355347
math,3,25,27,0.16071389615535736
math,4,24,27,0.18699239194393158
math,5,24,28,0.2100876271724701
math,6,24,29,0.23150385916233063
math,7,23,29,0.25459539890289307
math,8,22,29,0.2729776203632355
math,9,20,28,0.2941676676273346
math,10,20,29,0.3096696734428406
math,11,19,29,0.32692816853523254
math,12,18,29,0.34567081928253174
math,13,17,29,0.3665902018547058
math,14,16,29,0.38740235567092896
math,15,15,29,0.40555548667907715
math,16,3,18,0.4143025279045105
math,17,3,19,0.4180256426334381
