task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
syntax,1,25,25,0.09035666286945343
syntax,2,24,25,0.1287163943052292
syntax,3,23,25,0.15726016461849213
syntax,4,23,26,0.18475642800331116
syntax,5,23,27,0.21061518788337708
syntax,6,22,27,0.23357780277729034
syntax,7,22,28,0.2553088665008545
syntax,8,20,27,0.2756657302379608
syntax,9,20,28,0.2939654588699341
syntax,10,20,29,0.3122510015964508
syntax,11,19,29,0.32958143949508667
syntax,12,18,29,0.3465336561203003
syntax,13,17,29,0.36937934160232544
syntax,14,16,29,0.3898155689239502
syntax,15,8,22,0.4003649652004242
syntax,16,8,23,0.40765878558158875
syntax,17,8,24,0.41305917501449585
